,bouy_name,sar_image_name,bouy_lon,bouy_lat,pol,mean_sigma0,std_sigma0,mean_sigma0_dB,std_sigma0_dB,insitu_wave,model_wave
22,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1A_IW_GRDH_1SDV_20200207T070239_20200207T070304_031143_039472_9CC8.SAFE,-16.5979,27.9966,VV,0.005587218611528649,0.0042018158441054,,,0.6600000313483179,nan
23,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1A_IW_GRDH_1SDV_20200207T070239_20200207T070304_031143_039472_9CC8.SAFE,-16.5979,27.9966,VH,0.0004271704828033628,0.0015666885649581077,,,0.6600000313483179,nan
24,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1A_IW_GRDH_1SDV_20200211T190532_20200211T190557_031209_0396C2_A29B.SAFE,-16.5979,27.9966,VV,0.03635327203885899,0.02141461379475563,,,0.6600000313483179,nan
25,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1A_IW_GRDH_1SDV_20200211T190532_20200211T190557_031209_0396C2_A29B.SAFE,-16.5979,27.9966,VH,0.00011709228007561168,0.001915002359363845,,,0.6600000313483179,nan
26,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200205T190445_20200205T190510_020138_0261E4_BA95.SAFE,-16.5979,27.9966,VV,0.03513721944791881,0.018776155552538837,,,0.5400000256486237,nan
27,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200205T190445_20200205T190510_020138_0261E4_BA95.SAFE,-16.5979,27.9966,VH,9.86419075381274e-05,0.0015102864575351044,,,0.5400000256486237,nan
28,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200225T070156_20200225T070221_020422_026B14_63EC.SAFE,-16.5979,27.9966,VV,0.029930774762292466,0.01553779357509713,,,0.5800000275485218,nan
29,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200225T070156_20200225T070221_020422_026B14_63EC.SAFE,-16.5979,27.9966,VH,0.0007964061209837728,0.0014141809806683403,,,0.5800000275485218,nan
30,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200217T190445_20200217T190510_020313_026786_B898.SAFE,-16.5979,27.9966,VV,0.130987162020823,0.0731371756603204,-9.482020231003254,2.461612876199426,1.0100000479724258,nan
31,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200217T190445_20200217T190510_020313_026786_B898.SAFE,-16.5979,27.9966,VH,0.0008907313723867778,0.0019358031611642003,,,1.0100000479724258,nan
32,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1A_IW_GRDH_1SDV_20200228T191335_20200228T191405_031457_039F3B_E0EA.SAFE,-16.5979,27.9966,VV,0.005819207113359155,0.0034314474910704896,,,0.4400000208988786,nan
33,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1A_IW_GRDH_1SDV_20200228T191335_20200228T191405_031457_039F3B_E0EA.SAFE,-16.5979,27.9966,VH,0.00013577015863149703,0.000530099121464243,,,0.4400000208988786,nan
34,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200222T191253_20200222T191323_020386_0269E3_5EA4.SAFE,-16.5979,27.9966,VV,0.01216892079766296,0.00747444586881666,,,0.5300000251736492,nan
35,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200222T191253_20200222T191323_020386_0269E3_5EA4.SAFE,-16.5979,27.9966,VH,0.0001575202439370646,0.0004610131920840174,,,0.5300000251736492,nan
36,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200201T070157_20200201T070222_020072_025FCE_DB71.SAFE,-16.5979,27.9966,VV,0.011817828752063374,0.006660880174355774,,,0.4400000208988786,nan
37,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200201T070157_20200201T070222_020072_025FCE_DB71.SAFE,-16.5979,27.9966,VH,0.00041969455260895255,0.0012378090907890944,,,0.4400000208988786,nan
38,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200210T191253_20200210T191323_020211_026445_827E.SAFE,-16.5979,27.9966,VV,0.03667854425521918,0.018838238031219243,-14.930434151935868,2.313906473841006,0.8400000398978591,nan
39,bouydata/202002/IR_TS_MO_1300131_202002.nc,S1B_IW_GRDH_1SDV_20200210T191253_20200210T191323_020211_026445_827E.SAFE,-16.5979,27.9966,VH,0.0004956384585914945,0.0006376076773871388,,,0.8400000398978591,nan
40,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200201T180258_20200201T180323_020079_02600E_0209.SAFE,-1.6766,43.403,VV,0.00885910199124841,0.048953828491548584,,,1.8000000854954123,nan
41,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200201T180258_20200201T180323_020079_02600E_0209.SAFE,-1.6766,43.403,VH,0.001610049762501155,0.006594443040901875,,,1.8000000854954123,nan
42,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200219T060816_20200219T060841_020334_02682C_8324.SAFE,-1.6766,43.403,VV,0.014574074206561842,0.12753262598143597,,,3.200000151991844,nan
43,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200219T060816_20200219T060841_020334_02682C_8324.SAFE,-1.6766,43.403,VH,0.001650631132065562,0.004709389344271532,,,3.200000151991844,nan
44,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200212T061628_20200212T061653_020232_0264FB_556D.SAFE,-1.6766,43.403,VV,0.021314318079975487,0.038323166505576545,,,4.700000223238021,nan
45,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200212T061628_20200212T061653_020232_0264FB_556D.SAFE,-1.6766,43.403,VH,0.0013766584648642359,0.004002982319481289,,,4.700000223238021,nan
46,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200225T180257_20200225T180322_020429_026B52_F6EA.SAFE,-1.6766,43.403,VV,0.04952468788737095,0.03579400629538655,-13.798139495873881,2.572210957973139,3.000000142492354,nan
47,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1B_IW_GRDH_1SDV_20200225T180257_20200225T180322_020429_026B52_F6EA.SAFE,-1.6766,43.403,VH,0.002441497328580147,0.006128924918133138,,,3.000000142492354,nan
48,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1A_IW_GRDH_1SDV_20200207T180348_20200207T180413_031150_0394B0_05D8.SAFE,-1.6766,43.403,VV,0.013437337994150499,0.04046641381284976,,,0.9000000427477062,nan
49,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1A_IW_GRDH_1SDV_20200207T180348_20200207T180413_031150_0394B0_05D8.SAFE,-1.6766,43.403,VH,0.001642005599126197,0.007440449527441253,,,0.9000000427477062,nan
50,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1A_IW_GRDH_1SDV_20200214T175528_20200214T175553_031252_03982F_E433.SAFE,-1.6766,43.403,VV,0.035666144649535915,0.04124949360834768,,,2.5000001187436283,nan
51,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1A_IW_GRDH_1SDV_20200214T175528_20200214T175553_031252_03982F_E433.SAFE,-1.6766,43.403,VH,0.002386809046326181,0.007722901376060717,,,2.5000001187436283,nan
52,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1A_IW_GRDH_1SDV_20200219T180348_20200219T180413_031325_039ABD_BFBF.SAFE,-1.6766,43.403,VV,0.017125811397980903,0.03780203065189927,,,3.6000001709908247,nan
53,bouydata/202002/GL_TS_MO_6200079_202002.nc,S1A_IW_GRDH_1SDV_20200219T180348_20200219T180413_031325_039ABD_BFBF.SAFE,-1.6766,43.403,VH,0.002082960729189426,0.006801848326300501,,,3.6000001709908247,nan
